REGIMEN_LABORAL;CARGO;REMUNERACION MENSUAL;BENEFICIOS;female;male
1;3;2598;0;1;0
1;4;9500;0;1;0
1;3;2598;0;0;1
1;3;2598;0;0;1
1;3;2598;0;1;0
1;4;4106.67;0;1;0
1;3;2598;0;1;0
1;3;2598;0;0;1
1;3;2598;0;1;0
1;3;2400;0;1;0
1;3;2400;0;0;1
1;3;2598;0;1;0
1;3;2598;0;1;0
1;3;2598;0;0;1
1;3;2598;0;1;0
1;3;2251.6;0;1;0
1;3;2400;0;0;1
1;3;2400;0;0;1
1;4;11700;0;0;1
1;4;7800;0;0;1
1;4;9500;0;1;0
1;3;2598;0;1;0
1;2;9500;0;1;0
1;3;2400;0;0;1
1;3;2598;0;1;0
1;3;2893.33;0;0;1
1;4;5300;0;0;1
1;4;5000;0;1;0
1;3;2598;0;1;0
1;3;3100;0;0;1
1;3;2400;0;1;0
1;3;2400;0;1;0
1;3;2400;0;1;0
1;3;2400;0;0;1
1;3;2400;0;0;1
1;4;7800;0;0;1
1;3;2400;0;0;1
1;4;9500;0;1;0
1;4;3700;0;0;1
1;3;2500;0;1;0
1;3;2996.67;0;0;1
1;2;9500;0;0;1
1;3;3100;0;1;0
1;4;6283.33;0;1;0
1;3;2400;0;1;0
1;3;2400;0;1;0
1;4;10000;0;1;0
1;3;2700;0;0;1
1;3;2320;0;0;1
1;4;3700;0;1;0
1;3;2400;0;0;1
1;3;2320;0;1;0
1;3;2240;0;0;1
1;3;2400;0;0;1
1;3;2400;0;1;0
1;4;6283.33;0;1;0
1;3;2400;0;1;0
1;3;2400;0;1;0
1;4;3700;0;1;0
1;3;2080;0;0;1
1;3;2320;0;1;0
1;3;2598;0;1;0
1;3;2400;0;1;0
1;3;2320;0;0;1
1;3;2598;0;1;0
1;4;6500;0;0;1
1;4;5300;0;1;0
1;3;2893.33;0;0;1
1;3;2500;0;0;1
1;3;2700;0;0;1
1;3;2400;0;0;1
1;4;5300;0;0;1
1;4;9500;0;0;1
1;3;2320;0;0;1
1;4;4400;0;1;0
1;3;2400;0;1;0
1;3;2400;0;0;1
1;4;9500;0;0;1
1;4;4000;0;1;0
1;3;2400;0;0;1
1;3;2320;0;0;1
1;3;2598;0;0;1
1;4;4253.33;0;0;1
1;3;2400;0;1;0
1;4;7800;0;0;1
1;4;6500;0;1;0
1;3;2400;0;0;1
1;3;2400;0;0;1
1;3;2598;0;0;1
1;4;4400;0;0;1
1;4;6500;0;1;0
1;3;2400;0;1;0
1;3;2400;0;1;0
1;4;7800;0;0;1
1;3;2400;0;1;0
1;4;4700;0;1;0
1;3;2400;0;0;1
1;4;4400;0;0;1
1;3;2700;0;0;1
1;4;4400;0;0;1
1;3;2400;0;1;0
1;3;2400;0;1;0
1;3;3100;0;1;0
1;3;2400;0;0;1
1;3;2400;0;0;1
1;3;2400;0;0;1
1;3;2320;0;0;1
1;4;4400;0;1;0
1;3;2598;0;0;1
1;3;2598;0;1;0
1;3;2500;0;0;1
1;3;2160;0;1;0
1;3;2400;0;1;0
1;3;2598;0;1;0
1;3;2598;0;0;1
1;3;2400;0;1;0
1;3;2400;0;0;1
1;3;2400;0;1;0
1;3;2400;0;0;1
1;3;2598;0;0;1
