VC_PERSONAL_CARGO;MO_PERSONAL_REMUNERACIONES;MO_PERSONAL_HONORARIOS;MO_PERSONAL_INCENTIVO;MO_PERSONAL_GRATIFICACION;MO_PERSONAL_OTROS_BENEFICIOS;male;female;CARGO
ADMINISTRADOR I;5600;0;0;0;0;0;1;5
ADMINISTRADOR I;5693;0;0;0;0;1;0;5
ADMINISTRADOR I;5600;0;0;0;0;1;0;5
ADMINISTRADOR I;5693;0;0;0;0;0;1;5
ADMINISTRADOR I;5600;0;0;0;0;1;0;5
ADMINISTRADOR I;5693;0;0;0;0;1;0;5
ADMINISTRADOR I;5693;0;0;0;0;1;0;5
ADMINISTRADOR I;5693;0;0;0;0;1;0;5
ADMINISTRADOR I;5693;0;0;0;0;1;0;5
ADMINISTRADOR I;5693;0;0;0;0;0;1;5
ADMINISTRADOR I;5600;0;0;0;0;1;0;5
ADMINISTRADOR I;5693;0;0;0;0;1;0;5
ADMINISTRADOR MODULO - NCPP;7500;0;0;0;0;0;1;6
ADMINISTRADOR MODULO - NCPP;7500;0;0;0;0;1;0;6
ADMINISTRADOR MODULO - NCPP;7500;0;0;0;0;1;0;6
ADMINISTRADOR MODULO - NCPP;7500;0;0;0;0;0;1;6
ADMINISTRADOR MODULO - NCPP;7339.9;0;0;0;0;1;0;6
ADMINISTRADOR MODULO - NCPP;7593;0;0;0;0;0;1;6
ADMINISTRADOR MODULO - NCPP;7593;0;0;0;0;1;0;6
ADMINISTRADOR MODULO - NCPP;7593;0;0;0;0;0;1;6
ADMINISTRADOR MODULO - NCPP;7593;0;0;0;0;1;0;6
ADMINISTRADOR MODULO - NCPP;7500;0;0;0;0;0;1;6
ADMINISTRADOR I;5600;0;0;0;0;0;1;5
ADMINISTRADOR I;5600;0;0;0;0;1;0;5
ADMINISTRADOR I;1306.66;0;0;0;0;1;0;5
ADMINISTRADOR I;5693;0;0;0;0;1;0;5
ADMINISTRADOR I;3360;0;0;0;0;1;0;5
ADMINISTRADOR I;5693;0;0;0;0;0;1;5
ADMINISTRADOR I;5576.33;0;0;0;0;1;0;5
ADMINISTRADOR I;6153;0;0;0;0;1;0;5
ADMINISTRADOR I;5600;0;0;0;0;0;1;5
ADMINISTRADOR I;5600;0;0;0;0;1;0;5
ADMINISTRADOR I;5693;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;3360;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5693;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5693;0;0;0;0;1;0;5
ANALISTA II;5413.33;0;0;0;0;1;0;5
ANALISTA II;5693;0;0;0;0;1;0;5
ANALISTA II;5693;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5693;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;4666.67;0;0;0;0;0;1;5
ANALISTA II;5693;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5413.33;0;0;0;0;1;0;5
ANALISTA II;5693;0;0;0;0;1;0;5
ANALISTA II;5600;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;1;0;5
ANALISTA II;5693;0;0;0;0;0;1;5
ANALISTA II;5600;0;0;0;0;1;0;5
